_unit_id,_created_at,_updated_at,gs,term,values,please_choose_one_of_the_reasons_below_gold,please_choose_one_of_the_reasons_below_gold_reason,which_category_does_this_term_belong_to_gold,which_category_does_this_term_belong_to_gold_reason
1229987848,5/3/2017 13:01:59,5/4/2017 11:42:45, time,time post-stimulation  ,"008hr, 024hr, 072hr, 000min, 720min",,,,
1229987849,5/3/2017 13:01:59,5/4/2017 11:34:26, time,extraction time  ,"0h after bru labeling, 6h after bru labeling",,,,
1229987850,5/3/2017 13:01:59,5/4/2017 11:36:34, time,time (post amputation)  ,"0h, 12h, 48h, 24h",,,,
1229987851,5/3/2017 13:01:59,5/4/2017 11:35:52, time,time after induction  ,"0h, 24 hours, 1 days, 5 days, 0 days",,,,
1229987852,5/3/2017 13:01:59,5/4/2017 11:35:03, age,age in vitro ,"0h, 24h, 48h, 72h",,,,
1229987853,5/3/2017 13:01:59,5/4/2017 11:33:43, time,pos-harvest time  ,"0h, 24h, 5h",,,,
1229987854,5/3/2017 13:01:59,5/4/2017 11:40:52, time,differentiation timepoint  ,"0h, 72h, 48h, 24h, t0",,,,
1229987855,5/3/2017 13:01:59,5/4/2017 11:39:18, treatment,h2o2 treatment level  ,"0mm, 1mm, 50mm, 5mm, 25mm",,,,
1229987856,5/3/2017 13:01:59,5/4/2017 11:37:45, treatment,b12 treatment  ,"0nm, 500nm, 50um",,,,
1229987857,5/3/2017 13:01:59,5/4/2017 11:37:30, treatment,folate treatment  ,"0nm, 6um, 30um, 60um",,,,
1229987858,5/3/2017 13:01:59,5/4/2017 11:34:10, time,time  ,"1 d, 3 d, 5 d, 24h, 0.25 d",,,,
1229987859,5/3/2017 13:01:59,5/4/2017 11:42:43, treatment,days of treatment  ,"1 day, 3 days",,,,
1229987860,5/3/2017 13:01:59,5/4/2017 11:40:44, treatment,time after treatment  ,"1 day, 6h, 12h, 24h, 48h",,,,
1229987861,5/3/2017 13:01:59,5/4/2017 11:34:02, time,time after treatment  ,"1 day, 6h, 12h, 24h, 72h",,,,
1229987862,5/3/2017 13:01:59,5/4/2017 11:43:49, treatment,treatment duration  ,"1 days, 3 days, 5 days, .25 days, 24h",,,,
1229987863,5/3/2017 13:01:59,5/4/2017 11:44:20, time,4-thiouracil labeling time  ,"1 h, fourth h post-n-addition, first h post-n-addition",,,,
1229987864,5/3/2017 13:01:59,5/4/2017 11:40:54, age,age of the mice ,1 month old,,,,
1229987865,5/3/2017 13:01:59,5/4/2017 11:28:14, age,age at vaccination ,"1 month, newborn",,,,
1229987866,5/3/2017 13:01:59,5/4/2017 11:40:44, sex,sex (0-female 1-male)  ,"1, 0",,,,
1229987867,5/3/2017 13:01:59,5/4/2017 11:40:28, sex,sex (0-male 1-female)  ,"1, 0",,,,
1229987868,5/3/2017 13:01:59,5/4/2017 11:42:00, disease,disease progression (event)  ,"1, 0",,,,
1229987869,5/3/2017 13:01:59,5/4/2017 11:29:24, age,age (bin) ,"1, 0, na",,,,
1229987870,5/3/2017 13:01:59,5/4/2017 11:38:09, age,age bin ,"1, 0, na",,,,
1229987871,5/3/2017 13:01:59,5/4/2017 11:37:49, age,agebin ,"1, 0, na",,,,
1229987872,5/3/2017 13:01:59,5/4/2017 11:38:09, time,post radiation time (hour)  ,"1, 12, 24, 4, 0",,,,
1229987873,5/3/2017 13:01:59,5/4/2017 11:28:35, age,age (postnatal days) ,"1, 14, 7",,,,
1229987874,5/3/2017 13:01:59,5/4/2017 11:35:53, age,age (day) ,"1, 15, 5, 50, 30",,,,
1229987875,5/3/2017 13:01:59,5/4/2017 11:31:03, age,agegrp ,"1, 2",,,,
1229987876,5/3/2017 13:01:59,5/4/2017 11:33:29, treatment,order of treatment  ,"1, 2",,,,
1229987877,5/3/2017 13:01:59,5/4/2017 11:42:53, disease,stage of disease  ,"1, 2",,,,
1229987878,5/3/2017 13:01:59,5/4/2017 12:03:40, age,agestatus ,"1, 2, na",,,,
1229987879,5/3/2017 13:01:59,5/4/2017 11:36:57, sex,sex (male.1_female.2)  ,"1, 2, na",,,,
1229987880,5/3/2017 13:01:59,5/4/2017 11:43:54, disease,diseasestatus  ,"1, 2, nafld, nash, normal control",,,,
1229987881,5/3/2017 13:01:59,5/4/2017 11:38:08, time,time point (day)  ,"1, 28, 0, 3, 4",,,,
1229987882,5/3/2017 13:01:59,5/4/2017 11:41:13, time,lps exposure time  ,"1, 3, 0, 5",,,,
1229987883,5/3/2017 13:01:59,5/4/2017 11:41:38, disease,stage of disease (inss)  ,"1, 4, 2, 4s, 3",,,,
1229987884,5/3/2017 13:01:59,5/4/2017 12:18:36, tissue,number of pooled tissues ,"1, 4, 3",,,,
1229987885,5/3/2017 13:01:59,5/4/2017 11:32:22, treatment,treatment repeat  ,"1, 5, 6",,,,
1229987886,5/3/2017 13:01:59,5/4/2017 11:26:36, time,time after es/ga (days)  ,"1, 7, 3, n/a",,,,
1229987887,5/3/2017 13:01:59,5/4/2017 11:35:48, treatment,weeks after treatment  ,"1, 8",,,,
1229987888,5/3/2017 13:01:59,5/4/2017 11:32:38, disease,residual disease (cm)  ,"1, not evaluated, 6, 3, 0",,,,
1229987889,5/3/2017 13:01:59,5/4/2017 11:37:06, time,follow up time (months)  ,"1.2, 29.9, 48.7, 68.8, 51",,,,
1229987890,5/3/2017 13:01:59,5/4/2017 11:33:25, time,pfs time (years)  ,"1.33881, 3.96715, 0.780287",,,,
1229987891,5/3/2017 13:01:59,5/4/2017 11:37:45, time,time_rec (years)  ,"1.58, 2.08, 2.3, 0.92, 5.17",,,,
1229987892,5/3/2017 13:01:59,5/4/2017 11:32:01, time,time to outcome  ,"1.624 years, 0.035 years, 0.684 years, 2.315 years, 2.846 years",,,,
1229987893,5/3/2017 13:01:59,5/4/2017 11:41:30, time,developmental time  ,"1.75 - 2.75 hrs, 2 - 3 hrs, 0 h, 2 h, 1 h",,,,
1229987894,5/3/2017 13:01:59,5/4/2017 11:34:03, disease,mean disease duration  ,1.7yrs.,,,,
1229987895,5/3/2017 13:01:59,5/4/2017 11:41:54, strain,strain serotype  ,1/2a,,,,
1229987896,5/3/2017 13:01:59,5/4/2017 11:47:47, tissue,age and tissue ,10 days-old seedlings.,,,,
1229987897,5/3/2017 13:01:59,5/4/2017 11:44:42, age,age and tissue ,10 days-old seedlings.,,,,
1229987898,5/3/2017 13:01:59,5/4/2017 11:41:23, time,time (hpi)  ,"10 hr, 20 hr, control, 72, 96",,,,
1229987899,5/3/2017 13:01:59,5/4/2017 11:35:03, time,time(weeks)  ,10 weeks,,,,
1229987900,5/3/2017 13:01:59,5/4/2017 11:33:19, age,age at start of experiment ,"10 wks, 8 wks",,,,
1229987901,5/3/2017 13:01:59,5/4/2017 11:36:23, time,dfs time (yrs)  ,"10, 10.66666667, 10.5, 10.75, 9.91666667",,,,
1229987902,5/3/2017 13:01:59,5/4/2017 11:37:27, tissue,day of tissue dissection ,"10, 15, 12, 18",,,,
1229987903,5/3/2017 13:01:59,5/4/2017 11:32:19, age,age (days old) ,"10, 52, 66, 68, 57",,,,
1229987904,5/3/2017 13:01:59,5/4/2017 11:44:20, disease,disease_free_survival_event  ,"10, na, 0.42,1, 3",,,,
1229987905,5/3/2017 13:01:59,5/4/2017 11:32:42, treatment,testosterone treatment  ,"100 nm testosterone, none",,,,
1229987906,5/3/2017 13:01:59,5/4/2017 11:25:46, treatment,treatment dose u/ml  ,"100, 0",,,,
1229987907,5/3/2017 13:01:59,5/4/2017 11:40:22, treatment,treatment_dose  ,"1000 u/ml, none",,,,
1229987908,5/3/2017 13:01:59,5/4/2017 11:42:01, disease,disease-free survival (dfs)  ,"107 months, 28 months, 32 months, 2 months, 3 months",,,,
1229987909,5/3/2017 13:01:59,5/4/2017 11:36:27, age,age of ffpe block (years) ,"11, 10, 12, 13",,,,
1229987910,5/3/2017 13:01:59,5/4/2017 11:37:49, age,age of ffpe tissue ,"11, 10, 12, 21, 19",,,,
1229987911,5/3/2017 13:01:59,5/4/2017 11:39:20, tissue,age of ffpe tissue ,"11, 10, 12, 21, 34",,,,
1229987912,5/3/2017 13:01:59,5/4/2017 11:38:26, treatment,time (weeks of treatment)  ,"11, 27, -4, 23, 17",,,,
1229987913,5/3/2017 13:01:59,5/4/2017 11:36:56, time,time sacrificed  ,"1130, 1505, 1230, 1439, 1105",,,,
1229987914,5/3/2017 13:01:59,5/4/2017 11:41:01, time,time to meta or recurrence  ,"1175, 446",,,,
1229987915,5/3/2017 13:01:59,5/4/2017 11:37:09, age,conidial age ,12 days,,,,
1229987916,5/3/2017 13:01:59,5/4/2017 11:38:45, time,transfection time  ,"12 hrs, 48h, 7 hours, 12 hours, 25 hours",,,,
1229987917,5/3/2017 13:01:59,5/4/2017 11:29:44, time,time on diet  ,"12 weeks, 11 weeks",,,,
1229987918,5/3/2017 13:01:59,5/4/2017 11:30:08, treatment,period of treatment  ,"12 weeks, 4 weeks",,,,
1229987919,5/3/2017 13:01:59,5/4/2017 11:38:30, time,feeding time  ,"12 weeks, 9 weeks",,,,
1229987920,5/3/2017 13:01:59,5/4/2017 11:45:29, age,age months ,"12, 1.5, 6, 3, 20",,,,
1229987921,5/3/2017 13:01:59,5/4/2017 11:22:00, time,circadian time (ct)  ,"12, 18, 0, 6",,,,
1229987922,5/3/2017 13:01:59,5/4/2017 11:54:57, time,time in hrs  ,"12, 24, 3, 0.5, 6",,,,
1229987923,5/3/2017 13:01:59,5/4/2017 11:41:02, time,time (hrs)  ,"12, 24, 8, 4, 0.5",,,,
1229987924,5/3/2017 13:01:59,5/4/2017 11:43:50, treatment,treatment time(minutes)  ,"120, 480, 0, 20, 40",,,,
1229987925,5/3/2017 13:01:59,5/4/2017 11:38:18, time,treatment time(minutes)  ,"120, 480, 0, 20, 40",,,,
1229987926,5/3/2017 13:01:59,5/4/2017 11:42:58, time,10years followup time (months)  ,"120, 51.49, 50.48, 52.51, 73.48",,,,
1229987927,5/3/2017 13:01:59,5/4/2017 11:37:30, time,time inject  ,"1230, 1110, 1100, 1130, 1200",,,,
1229987928,5/3/2017 13:01:59,5/4/2017 11:48:15, strain,strain (genetic background)  ,"129svjae/c57b6 f1, c57bl/6 x b6129 ola",,,,
1229987929,5/3/2017 13:01:59,5/4/2017 11:36:21, time,time post infection  ,"12h, 24h, 14 days, n/a, 3 day dpi",,,,
1229987930,5/3/2017 13:01:59,5/4/2017 11:40:10, time,stress time  ,"12h, 24h, 48h",,,,
1229987931,5/3/2017 13:01:59,5/4/2017 11:47:47, treatment,sirna treatment time point  ,"12hr, 4hr, 8hr, 18hr",,,,
1229987932,5/3/2017 13:01:59,5/4/2017 11:48:15, time,time of pseudo-pregnancy  ,"13 days, 15 days",,,,
1229987933,5/3/2017 13:01:59,5/4/2017 11:31:32, age,vitis (41528 population) - age ,13 month,,,,
1229987934,5/3/2017 13:01:59,5/4/2017 11:38:01, age,age (at the end of treatment) ,13 wks,,,,
1229987935,5/3/2017 13:01:59,5/4/2017 11:30:42, treatment,age (at the end of treatment)  ,13 wks,,,,
1229987936,5/3/2017 13:01:59,5/4/2017 11:29:33, time,survival time (month)  ,"13.86138614, 29.07590759, 16.46864686, 12.07920792, 18.15181518",,,,
1229987937,5/3/2017 13:01:59,5/4/2017 11:38:52, age,estimated age ,130 days gestation,,,,
1229987938,5/3/2017 13:01:59,5/4/2017 11:37:14, time,collected time  ,14 days after inoculation,,,,
1229987939,5/3/2017 13:01:59,5/4/2017 11:27:17, treatment,treatment-time  ,"14 days, none, 24 hours, 3 hours, 9 hours",,,,
1229987940,5/3/2017 13:01:59,5/4/2017 12:03:29, time,time after lights on  ,"14 hr;, 6 hr;, 11 hr;, 23.75 hr;, 18 hr;",,,,
1229987941,5/3/2017 13:01:59,5/4/2017 11:27:27, age,age harvested (days) ,"14, 12, 16, 17, 24",,,,
1229987942,5/3/2017 13:01:59,5/4/2017 11:30:24, age,age of mice (wk) ,"14, 15, 12",,,,
1229987943,5/3/2017 13:01:59,5/4/2017 11:38:10, time,time point (months)  ,"14, 2, 0, 12, 0.5",,,,
1229987944,5/3/2017 13:01:59,5/4/2017 11:37:55, age,age at surgery ,"14, 8, 6-8 weeks, 71, 65",,,,
1229987945,5/3/2017 13:01:59,5/4/2017 11:36:27, time,survival time (months)  ,"14, 88, 25, 108, 19",,,,
1229987946,5/3/2017 13:01:59,5/4/2017 11:38:08, age,age in days at diagnosis ,"1429, 6306, 6733",,,,
1229987947,5/3/2017 13:01:59,5/4/2017 11:35:51, time,time after vaccination  ,"14d, 0h, 2h, 24h, 4h",,,,
1229987948,5/3/2017 13:01:59,5/4/2017 11:44:36, time,fermentation time  ,"15 hours of fermentation, 17h, 21h, 30h, 12 hours of fermentation",,,,
1229987949,5/3/2017 13:01:59,5/4/2017 11:44:20, treatment,duration of treatment  ,"15 min, 5 days, 30 min, 60 min, 6 hr",,,,
1229987950,5/3/2017 13:01:59,5/4/2017 11:49:01, age,age of sampling ,15 years,,,,
1229987951,5/3/2017 13:01:59,5/4/2017 11:39:53, genotype,genotype of ecat15-1  ,"15-1+/+, 15-1ct/ct, 15-1flox/flox",,,,
1229987952,5/3/2017 13:01:59,5/4/2017 11:39:50, genotype,genotype of ecat15-2  ,"15-2-/-, 15-2+/+",,,,
